index_article,index_paragraph,content,label
1,1,"Neurogenesis is a regulated process that maintains the complex structure of the central nervous system. In adults, neurogenesis is a form of neural plasticity as it continuously generates new neurons from neural stem cells. This process involves several steps, including proliferation, restriction of precursors to neuronal lineages, cell cycle exit, migration and integration into target areas, differentiation, as well as morphological and functional maturation. At the end of this process, newly generated cells become functionally active neurons. These cells can be identified by their expression of doublecortin (DCX), which is mainly detected in the adult dentate gyrus of the hippocampus and in the subventricular zone/rostral migration stream/olfactory bulb axis. Transgenic mice have been generated to monitor neurogenesis in vitro and in vivo by driving reporter genes with the DCX promoter.",0
1,2,"The need to better understand adult neurogenesis at the molecular and cellular levels in order to develop therapeutic strategies for pathological neuronal losses has been emphasized. There is also accumulating evidence that abnormal neurogenesis could play a role in neuropsychiatric disorders. Various models have been created over the years, such as transgenic models utilizing cell-type specific promoters (nestin, GLAST, PLP, DCX) to research the biology of neural stem cells, radial glia, oligodendroglial precursors and neuronal precursors. However, these reporter mice have limitations for long-term studies such as fate tracing or assessing the long-term functional integration of newly generated neurons. For instance, the DCX reporter mice are not suitable for fate mapping studies in regions such as the SVZ/OB axis or the dentate gyrus since DCX expression is temporary (mostly less than 1 month in rodents).",0
1,3,"To solve the issue of lacking a proper tool for studying neuronal precursor fate, we created transgenic mice that have the CreERT2 recombinase gene controlled by the DCX promoter and can be induced by tamoxifen. We show that this new transgenic tool enables the labeling of newly-formed neurons and tracking of their fate over a long period. Additionally, it allows for the regulation of gene expression during an important period of neuronal development and the analysis of the functional impact of such regulation.",0
1,4,"The CreERT2 cDNA from the 2380-bp Sal I-Not I fragment of pCAG-CreERT2bpA-SS1 vector was subcloned into the BamH I and Not I site of the phuDCX-3509-DsRed2 cassette which has the promoter region of human DCX resulting in phuDCX-3509-CreERT2 (Additional file 1). In addition, a 7.7-kb DCX-3'UTR was amplified using RT-PCR with specific primers and cloned into a pCRII vector to obtain the pCRIITOPO-3'UTR plasmid. Next, a 7.7-kb Spe I-Not I fragment of pCRII-TOPO-3'UTR was further subcloned into the Spe I and Not I site of the phuDCX-3509-CreERT2 cassette to obtain the phuDCX-3509-CreERT2-3'UTR targeting plasmid.",0
1,5,"The plasmid used for targeting, phuDCX-3509-CreERT2-3’-UTR, underwent linearization via Sal I-Not I digestion. The DNA was then injected into the pronuclei of fertilized oocytes from FVB inbred mice. PCR analysis and Southern Blot of tail DNA were utilized to determine the genotypes of the offspring. Cre-positive mice were further analyzed with Southern Blot using a 1.27-kb Sal I-Hind III fragment of pCAG-CreERT2-bpA-SS1 vector as a probe. If there were positive insertions, a 7424 bp fragment would be detected after digestion of genomic DNA with Kpn I or two fragments would be detected after digestion with EcoR V. All restriction enzymes used were from Roche Applied Science.",0
1,6,"Animal experiments were conducted following the guidelines of the Council of European Communities Directive of 24 November 1986 (86/609/EEC) and approved by the HelmholtzZentrum Munich Institutional Animal Care and Use Committee. The research team expanded the DCXCreERT2 transgenic mouse line by breeding DCX-CreERT2 transgenic mice with wildtype C57Bl/6J mice. Additionally, DCX-CreERT2 transgenic mice were mated with two reporter lines - CAG-CAT-EGFP mice [22] or ROSA26lacZ mice [23] - to produce DCX-CreERT2: ROSA26lacZ or DCX-CreERT2:CAG-CAT-EGFP double transgenic mice. By inducing recombination activity in these lines, the expression of the corresponding reporter gene was activated, and this was used for the different analyses described later.",0
1,7,"Tamoxifen was mixed with corn oil to create a 10 mg/ml stock concentration. Pregnant mice were injected with 20 μg TAM/g bodyweight to analyze expression of certain genes in embryos. The same protocol was used in pregnant mice of 17.5 day gestational stage to study the fate of targeted cells during adulthood. To test the activation of CreERT2 recombination in adult brains, 200 μg TAM/g bodyweight was injected. Daily injections of 100 μg TAM/g bodyweight were used to study the expression patterns of genes and markers in adult brains, with mice analyzed at different time points after the last injection.",0
1,8,"The mice received an injection of BrdU (5-Bromo-2’deoxyuridine) in sterile PBS, pH7.4, 24 hours before perfusion. The dosage was 200 μg/g bodyweight. The BrdU was obtained from Sigma-Aldrich and prepared appropriately.",0
1,9,"For whole-mount X-gal staining, embryos were immersed in a solution containing 4% paraformaldehyde (PFA), 5 mM EGTA, 10 mM MgCl2 in PBS, and fixed for 30 minutes at room temperature (RT). After that, they were rinsed in 0.1 M sodium phosphate buffer pH 7.4 (PB), 2 mM MgCl2, 0.01% sodium deoxycholate, 0.02% NP-40, and incubated with X-gal staining buffer (0.1% X-gal, 2 mM MgCl 2 , 0.01% sodium deoxycholate, 0.02% NP-40, 5 mM K3Fe(CN)6, 5 mM K4Fe(CN)6 in PB) in the dark at 37°C for several hours, to visualize the beta-galactosidase (b-gal) activity as a blue reaction product. The stained embryos were then washed twice in PBS and post-fixed with 4% PFA in PBS, overnight at 4°C. For the X-gal staining of free-floating sections, the process was the same as before, except the sections were post-fixed with 4% PFA in PBS for only 1 hour at RT, and then lightly counterstained with Eosin Y (0.1%, E4382, Sigma-Aldrich).",0
1,10,"Embryonic specimens were fixed in 4% paraformaldehyde (PFA) in 0.1 M phosphate buffer with a pH of 7.5 for a duration of 2-8 hours. The whole embryo was embedded in paraffin and sectioned sagittally (8 μm) with the use of a Microm HM 355 s Microtome (Leica). Adult mouse brains were extracted post transcardial perfusion with 4% PFA in 0.1 M phosphate buffer pH 7.5. These brains were postfixed for 2 hours in the same fixative, submerged in 20% sucrose at 4°C overnight, and embedded in OCT compound. Leica cryostats were used to cut serial coronal or sagittal sections (40 μm) of the brain for systematic sampling of the entire structure.",0
1,11,"For immunofluorescence staining, the free-floating sections were initially washed with PBS and then blocked with PBS++ (PBS++ includes 5% fetal calf serum and 0.3% Triton X-100 in PBS) for one hour at room temperature. However, in cases where the detection of BrdU was necessary, the sections were treated with 2 N HCl for 30 minutes at 37°C, neutralized for 10 minutes in 0.1 M borate buffer, washed six times in PBS, and then blocked with PBS++. After blocking, the sections were exposed to primary antibody dilutions (given in Table 1) in PBS++ for 24 hours at 4°C, followed by three 10-minute washes in PBS. The sections were then treated with secondary antibody conjugated to cyanine 2 (cy2), cy3 or cy5 in PBS++ for two hours at room temperature in a 1:400 dilution (Jackson ImmunoResearch Lab). After three 10-minute washes in PBS, the sections were treated with 5 mg/ml 4’,6’-diamidino-2-phenylindole (DAPI) (SigmaAldrich, D9564) for 20 minutes, followed by three 5-minute washes in PBS. Finally, the sections were mounted using Aqua poly/Mount (Polysciences, 18606).",0
1,12,The number of recombination events was quantified by counting at least 100 positive cells per region of interest for each animal and time point. The presented data show the mean ± SD.,0
1,13,"The ability of a 3509-bp DCX genomic fragment to drive expression of reporter genes in neuronal precursors and immature neurons in vitro and in vivo was previously demonstrated (9,10). Hence, the CreERT2 encoding sequences were subcloned downstream of this DCX regulatory fragment (Additional file 1). After pronuclear injection, two male founders carrying the CreERT2 transgene were obtained. Both founders transmitted their transgene to the F1 generation, and Southern blot analysis indicated that only 1 copy of the transgene was integrated into the host genome (Additional file 1).",0
1,14,"Cre-recombinase activity was evaluated in the first generation of two founder-derived lines by mating them with Rosa26 lacZ reporter mice. This resulted in activation of a lacZ expression cassette following recombination [23]. Two-month-old DCX-CreERT2:Rosa26 lacZ mice were perfused two weeks after a tamoxifen (TAM) or vehicle injection and stained for b-gal activity. Both DCX-CreERT2 transgenic lines exhibited the expected TAM-induced b-gal expression in adult neurogenic regions, such as the SVZ and dentate gyrus (Additional file 1). However, no b-gal activity was detected following vehicle injections in the progeny derived from founder 2. In contrast, progeny from founder 1 showed numerous b-gal positive profiles after vehicle injection, indicating unspecific recombination events (data not shown). Therefore, only the transgenic DCXCreERT2 founder 2 line was expanded and used for subsequent experiments.",0
1,15,"To confirm that CreERT2 expression matches with the endogenous DCX expression in the DCX-CreERT2 transgenic mice, we examined their respective expression patterns. At the level of individual cells, CreERT2 was found in almost all DCX+ cells of the developing CNS (E15.5). Additionally, one day after TAM administration, the CreERT2 had translocated into the nucleus (Figure 1a). Similarly, in the adult brain, CreERT2 expression was exclusively present in the nucleus of DCX+ cells one day after TAM injection (Figure 1b). The nuclear distribution was motivated by TAM administration and is required for CreERT2 activity.",0
1,16,"To determine the timeframe during which CreERT2 operates in the nucleus following the TAM injection, DCX-CreERT2 adult mice were perfused at various points in time after the injection, and the sub-cellular localization of the CreERT2 protein was evaluated. The nuclear localization of CreERT2 was markedly reduced seven days following TAM injection as opposed to the initial day. At this stage, CreERT2 expression was still co-localized with DCX, but the distribution shifted back to being mostly cytoplasmic (Figure 1c). Moreover, two weeks post-TAM injection, CreERT2 was located exclusively in the cytoplasm (Figure 1d and 1e). Our findings suggest that CreERT2 nuclear localization quickly diminishes following the last TAM administration, indicating that CreERT2 activity is transient and practically ceases after seven days.",0
1,17,"After confirming that CreERT2 co-localizes correctly with DCX+ cells, we proceeded to examine the specificity and activity of recombination. We bred DCX-CreERT2 mice with Rosa26 lacZ or CAG-CATEGFP reporter mice to track activation of the relevant reporter gene expression upon successful excision of the loxP-flanked cassette. Analyzing reporter gene expression at different times after recombination allows us to monitor the outcome of DCX-expressing cells.",0
1,18,"After administering TAM injection on E14.5, CreERT2 activity was examined and it was observed that b-gal expression was limited to CNS and DRGs, similar to endogenous DCX expression. On E17.5, activation of CreERT2 by a single TAM-injection resulted in widespread EGFP reporter expression throughout the brain parenchyma, including the granular cell layer of dentate gyrus, striatum, cortex, thalamus, Ammon’s horn (CA1), etc., as per the DCX expression pattern.",0
1,19,"Virtually all cells that expressed EGFP also expressed NeuN which indicates that they had matured into neurons (Figure 2d to 2g). EGFP expression was not found in DCX-positive cells located in the SVZ (Figure 2f and 2g), the RMS (data not shown), or the SGZ of the dentate gyrus (Figure 2d and 2e). Some EGFP+ cells were observed in or near the ependymal layer of the lateral ventricles (Figure 2f, indicated by arrows). However, these EGFP+ cells did not co-express NeuN or DCX, and their identity is still unknown.",0
1,20,"In order to investigate the limited production of neurons in the adult CNS, adult mice were given TAM injections for five consecutive days before being perfused for analysis four weeks after the final injection. The results showed that EGFP+ cells generated in the SVZ reached the OB and were mainly distributed in the GrO layer, with fewer cells found in the pGl layer. These EGFP+ cells in the OB expressed NeuN, indicating maturity, but not DCX. Scattered EGFP+ cells expressing DCX were found in the rostral RMS, while few EGFP+ cells were present in the SVZ. Additionally, EGFP+ cells in the dentate gyrus expressed NeuN and not DCX. (Figure 2h–k).",0
1,21,"The recombination event in cells expressing DCX in the adult SVZ and SGZ was assessed for efficiency and specificity. The proportion of DCX+ cells that expressed EGFP represented efficiency while the percentage of EGFP+ cells that expressed DCX represented specificity. Since EGFP accumulation levels were low initially, an anti-EGFP antibody was used to amplify signals for subsequent experiments. In the SVZ, 94% of DCX+ cells co-expressed EGFP, while in the SGZ, EGFP was detected in 77% of DCX-expressing cells. Additionally, 96% of EGFP+ cells in the SVZ and 90% in the SGZ co-expressed DCX, indicating high efficiency and specificity of CreERT2 activity.",0
1,22,"To further understand how DCX+ cells move from their birthplace to their destination areas, the researchers studied the distribution of cells that expressed EGFP at different time intervals after treatment with TAM. Adult mice were sacrificed on the eighth, fifteenth, and twenty-ninth day after the last injection to investigate the co-localization of EGFP expression with DCX and NeuN in the SVZ-RMS-OB axis and the dentate gyrus.",0
1,23,"The percentage of DCX+ neurons expressing EGFP decreased from 100% at day 2 to 25% at day 15, while co-localization of EGFP and DCX in the SVZ decreased from 26.7% at day 8 to 12.5% at day 15. By day 29, few EGFP+ cells expressing DCX remained in the SVZ and no co-localization was detected in the SGZ. These results suggest that the main migration of EGFP-labeled neurons occurred within the first 15 days. (Figure 3)",0
