index_article,index_paragraph,content,label
1,1,"Performance indicators are developed and used worldwide predominantly to highlight the performance of a biological, physical, chemical, environmental, economic or social system (Jakobsen, 2008). In particular, an environmental indicator according to the United Nations (1997) is “an information tool that summarises data on complex environmental issues to show overall status and trends of those issues”. ",1
1,2,"The use of environmental indicators is essential in order to ensure that daily port activities and operations are consistent with sustainable development. In order to evaluate environmental performance of port authorities and to track progress towards continuous improvement, relevant Environmental Performance Indicators (EPIs) may be utilised (Donnelly et al., 2007). In this way, port authorities can demonstrate compliance and continuous improvement through scientific evidence and quantifiable measures.",1
1,3,"The use of EPIs has been continuously encouraged by several port organisations around the world among their members. For instance, in Europe, the European Sea Ports Organisation (ESPO) expressed the importance of identifying EPIs and carrying out environmental monitoring in the ESPOEnvironmental Code of Practice 2003 (ESPO, 2003), and it is also presently in force in the ESPO Green Guide (ESPO, 2012). Other organisations, such as the International Association of Ports and Harbours (IAPH) or the Baltic Ports Organisation (BPO) also promote the use of indicators.",1
1,4,"The identification of performance indicators is strictly related with the environmental aspects of the port. According to ISO 14001 (2015), an environmental aspect is an element of an organisation’s activities, products and services that can interact with the environment. Examples of them are the water discharges, emissions to air, waste generation or noise emissions. Indicators are necessary to control the performance of these aspects, especially those that are significant. For example, in the case of emissions to air, associated indicators could be the concentration of sulphur oxides (SOx) or nitrogen oxides (NOx). Therefore, these two concepts are inter-related. In fact, in any EMS, once the aspects have been identified a set of indicators are required to measure their performance over the time and ensure continual improvement. ",1
1,5,"In order to assist ports in identifying their Significant Environmental Aspects (SEAs), a tool was developed in the framework of the PERSEUS research project (PERSEUS, 2012). It is called Tool for the identification and assessment of Environmental Aspects in Ports (TEAP) (Puig et al, 2015), and it is available online at www.eports.cat/teap. TEAP is connected to the tool presented in this paper, the Tool for the identification and implementation of Environmental Indicators in Ports (TEIP). The results of the aspects obtained in TEAP can be taken directly to TEIP for the compilation of indicators. However, if a port has already identified its own SEAs, it can go directly to TEIP. ",1
1,6,"TEIP tool has been carried out within the EU-funded project PORTOPIA: Port Observatory for Performance Indicator Analysis (2013 – 2017). It aims at developing a Service Cloud where European ports can administer their performance, based on selected performance indicators (PORTOPIA, 2014). In this way, port managers will be able to track the annual variations in the performance of their port and to compare with the average of the sector. ",1
1,7,"Indicators are increasingly being developed and used as management tools to address environmental issues (e.g. Belfiore, 2003). The use of indicators is strongly recommended due to several reasons: ",1
1,8,"As seen in the previous bullet points, indicators are very useful for assessing environmental information and solving environmental problems. However, they may also have some challenges and limitations. Examples of them are mainly related to the difficulty of some indicators to describe the state of the environment in just some parameters or the limited data availability. In addition, the sensitivity is another parameter to be considered, since some indicators may vary with short-term environmental changes. ",1
1,9,"However, even considering the foresaid limitations, indicators are key elements of an Environmental Management System (EMS) since they supply quantitative information that allow to verify whether the objective of continual improvement is achieved in an organization (Perotto et al., 2008). There are three main standards widely recognised and implemented among the sector to put in place an EMS: the International Organisation for Standardisation (ISO) 14001 (ISO, 2015), the Eco-Management and Audit Scheme (EMAS) Regulation (EC, 2009) and the Port Environmental Review System (PERS) (ESPO, 2011). The specific information and requirements that these three EMS standards request with regards to indicators were researched and are provided below. ",1
1,10,"According to the ISO 14001 standard, the organisation should establish and maintain a procedure to monitor and measure the key characteristics of its operations that can have a significant environmental impact and a procedure for periodically evaluate compliance with legal requirements (ISO, 2015). The way to do so is through indicators. ISO 14001 does not provide any specification in terms of examples of indicators or methodologies for their implementation. However, there is one concrete standard, ISO 14031 (ISO, 1999) on environmental performance evaluation and belonging to the ISO 14000 family, which provides examples of indicators to be implemented. ",1
1,11,"PERS protocol, the only one specific for ports, also gives importance to the identification of performance indicators, existing one specific clause on this issue. According to PERS (ESPO, 2011), the port should identify from five to ten EPIs relevant to the major environmental aspects and to the policy of the port in order to facilitate monitoring of the environmental performance. The standard provides around 20 examples of environmental indicators likely to be monitored in port areas. ",1
1,12,"It was observed that the three standards require the use of environmental indicators, including, some of them, examples of indicators that may be adopted by port authorities. However, any standard provides a method on how each port should select its indicators. For this reason, a research was conducted within the EU port sector on the existing methods for identifying indicators, and it is presented in the following section. ",1
1,13,This section researches on the already existing methods used for the identification of indicators in ports. The methods that have been found are presented below classified in two groups: the methods that have been developed focussed on the whole port sector; and the methods that are used in individual ports. ,1
1,14,"An example of a methodology proposed to obtain a system of indicators in the port sector was found. It is a method that was developed as a result of the research project INDAPORT (2002–2004), which aimed at establishing systems of indicators to implement a sustainable environmental port management (Peris-Mora et al., 2005). The research pathway included the identification of 21 port activities that were applicable to the case study of the Port of Valencia, which were submitted to environmental analysis. Each activity was described through a steps-diagram process, which allowed the identification of inputs and outputs environmental aspects affected by these activities – processes. A cross matrix of aspects and activities permitted the identification of the most relevant impacts from activities. Experts’ panel was used in order to find out which were the most significant impacts. Finally, as a result of the described methodology, 17 selected port system indicators were provided. Examples of indicators provided by the INDAPORT project were the ‘Total annual greenhouse gas (GHG) emissions’ or the ‘Total annual water consumption’.",1
1,15,"A research on the current methodologies used in ports to identify indicators was also carried out. The sample considered 51 EU ports, 39 non-European ports, 13 port operators and 17 marinas. Within the sample of the EU port authorities, the research demonstrated that a large number of ports publish the list of indicators that they use (37 out of 51); however, just a few explained the origin of these indicators (10 out of 51). In all these 10 cases, the sources of the indicators were standardised lists of indicators, such as the ones provided by the Global Reporting Initiative (GRI, 2013) or by the EMAS standard (EC, 2009). ",1
1,16,"In the non-EU port authorities, the results were less encouraging. Although 26 ports published the list of indicators, only one port provided the source (GRI guidelines) and the resulting indicators. With regards to port operators, 38.5% of them provided the list of indicators and 30.8% the source, being this the list of recommended indicators by GRI and EMAS. In terms of marinas, there was a higher percentage (47%) of ports that published both the indicators and the source, being the EMAS standard (EC, 2009) the source of all marinas. ",1
1,17,"In any case, neither in EU ports nor in non-EU ports, any example was found having a methodology for identifying indicators. ",1
1,18,"In the previous sections of this paper, the benefits and importance for identifying environmental indicators have been detailed. Several reasons have been provided which demonstrate that they are key elements of the whole environmental management of a port. As mentioned before, ISO 14001, EMAS and PERS specifications determine that indicators should be used to assess the environmental performance. However, since each organisation has its own characteristics and distinctive features, the standards do not establish a common methodology for their identification and assessment. Some examples of EPIs are provided by the standards, although the final decision relies on each individual port, in accordance with their significant aspects. ",1
1,19,"In the research of the existing methodologies in the sector, only one procedure was found explaining how to create a system of indicators. In addition, the research demonstrated that this procedure is currently no longer used by ports. The research on individual ports made evidence that a wide range of ports use EPIs, but just a few explained the reason for using that set of indicators. ",1
1,20,"In addition, the European Port Industry Sustainability Report 2016 revealed that 66% of the respondent ports have identified environmental indicators to monitor trends in environmental performance (ESPO, 2016). Nevertheless, when ports were asked to name the environmental indicators used, the responses provided almost 100 different indicators. This wide range of indicators means that although ports are becoming increasingly aware of the benefits of using environmental indicators, there is not a common approach as to which indicators adopt. If ports are not using a procedure to identify indicators, it may well be that the selected indicators are not the most appropriate. ",1
1,21,"These reasons have contributed to identify the need for the creation of a common method that assists ports in identifying indicators in a more reliable manner. As mentioned before, even if each port is different, having a standard methodology that can provide specific results for each port is desirable to mutual advantage of sector and individual ports. As a consequence, an interactive tool has been created aiming at proving a set of performance indicators especially selected for the port user and which is based on the Significant Environmental Aspects (SEAs) of the port, as well as other port characteristics. The method has been developed specifically for the port sector and it is valid and publicly available for any port authority, including sea ports and inland ports. The development of the tool is explained in the following section. ",1
1,22,"An extensive research was carried out in order to identify and compile a very broad inventory of EPIs that are being used and reported in the industrial sector, with especial emphasis to the port sector. A vast list of references was researched and each single new indicator that was identified was considered for the study, gathering a total number of 1279 indicators. However, after analysing all of them, a final inventory of 648 indicators was obtained, excluding repetitions. It may be considered as the largest compilation of environmental indicators for the port sector that is known. Eleven different sources of information were used (including the outcomes of research projects or the results of the ESPO Environmental Questionnaire), obtaining in each one the number of EPIs provided in table 1, listed in descending order. ",1
1,23,"The inventory of 648 environmental indicators was classified under nine categories of indicators. On one hand, it was seen that most of the indicators could fit in the seven categories of environmental aspects that were previously defined in the development of the TEAP tool (Puig et al, 2015). These categories of environmental aspects were identified after a deep research on the existing environmental aspects in ports. The research included ports’ websites, ports’ environmental or annual reports, and EMS reports (involving mostly PERS and EMAS Declarations) of port authorities and terminal operators. On the other hand, it was seen that there were two types of indicators that did not fit to any of those seven categories. For this reason, two more groups were created: the environmental management and the port development indicators. As a result of that, all the indicators were classified accordingly to the nine established categories, as shown in table 2. ",1
