index_article,index_paragraph,content,label
47,1,"This study is an assessment of economic knowledge among students who receive formal economic instruction in their senior year of high school. Our sample was drawn from seven high schools in two large school districts in Orange County, California. Students were enrolled in the compulsory, semester-long economics course, a state requirement for high school graduation. Our key performance measure is the Test of Economic Literacy (TEL). Using a pretest每post-test design, we find that initial knowledge of economics is not strong among the students. After one semester of formal economics instruction, TEL examination scores improve by 12.3 percentage points on average.",1
47,2,"The need for improving economic and financial literacy is now being frequently discussed in the media, a sign that policy makers and educators are more aware of the importance of economic literacy for children, teenagers, and young adults. Evidence of this increased awareness can be found in the public attention given to the second and third National Summit on Economic & Financial Literacy [NCEE, March 2005 and February 2008]. Likewise, the academic literature has long emphasized the importance of economics education in high school [Walstad 1992; Salemi and Siegfried 1999; Walstad and Rebeck 2000; Walstad 2001], and there is a growing body of literature that investigates issues related to the teaching and learning of economics at the high school and college level [e.g., Becker et al. 1990; Harris and Kerby 1997; Lopus 1997; Melican et al. 1997; Allgood and Walstad 1999; Walstad and Rebeck 2001a; Belfield and Levin 2004].",1
47,3,"This paper presents results from our investigation of economic literacy among high school students in Orange County, California. Since 1985, California high school graduation requirements have included one semester of economics. The course is taken by students in their senior year in high school, and it exposes them to the basics of microeconomic and macroeconomic analyses. California is one of only 17 states [NCEE June 2007] that require formal principles of economics instruction at the secondary level. To our knowledge, there is no empirical study to date that focuses specifically on the effectiveness of formal economics instruction in improving economic literacy of high school students in the state of California. This study partially fills that gap.",1
47,4,"Our work contributes to two important policy issues. The first regards the efficacy of high school economics in improving economic literacy. As we discuss below, evidence at the national level supports the view that a high school economics course improves students＊ performances on standardized economics tests. We sharpen the focus on this issue by adopting a single state, single county research design that includes a rich set of control variables from a survey that we designed, and from school records. The second policy issue concerns the effects of gender and ethnicity/ race on economic literacy. The literature, again mainly at the national level, finds significant gender differences in economic knowledge before an economics course is taken, but is inconclusive regarding gender effects on the learning of economics. A relatively scant literature finds differences in economic knowledge by race and ethnicity. We use our research design to study both gender and ethnicity effects on economic literacy both before and after students take their high school economics course. ",1
47,5,"Our focus on a single state and single county has a number of advantages for the empirical investigation. The reasons for variations in student achievement in economics are complex and are likely to be related to funding issues and administrative decisions regarding emphasis placed on economics instruction that vary considerable by state, and by counties within a state. Our research design effectively controls for many of these differences and allows us to better isolate the role of student characteristics on achievement.",1
47,6,"Although, as detailed in the section Study Methodology, Data, and Characteristics of the Sample, practical limitations were externally imposed on our research design, the demographics of Orange County are also important to this study. First, data from the California Department of Education (www.cde.ca.gov) for 2003每2004 show that Orange County had the second largest grade 12 enrollments in the state of California, accounting for over 8 percent of all high school seniors in the state. Second, whereas California is known for its diverse population, Orange County is one of the most racially and ethnically diverse populations in the state, with higher percentages of Asian and Hispanic students enrolled in 12th grade than the corresponding percentages for the state.",1
47,7,"Evidence from the literature supports the view that having students take an economics course is more effective in improving economic literacy than ＆＆infusing＊＊ economic content in the K-12 curriculum [Walstad 2001]. Using a sample of students from the second revision of the Test of Economic Literacy (TEL), Walstad and Soper [1989] report that students enrolled in an economics course scored higher on a post-test than students enrolled in social studies classes with no economic content, and scored higher than students enrolled in classes with some economic content. Becker and Walstad [1990], using the same data set, found that controlling for selection bias increased the marginal effect of the economics class on post-test performance. Walstad and Rebeck [2001a] and Lillydahl [1990], likewise, find that, nationwide, students enrolled in an economics course obtain the highest scores on the TEL multiple choice examination.",1
47,8,"Studies that explore differences in economic literacy by gender have also appeared in the literature. In a frequently cited article, Siegfried [1979] reviews the literature on a gender gap in students＊ performance. He reports that in most cases there is a statistically significant, although often small, male advantage over females in the understanding of economics measured at a specific point in time. More recent works have largely confirmed that a gender gap favoring males exists in students＊ point-intime measures of economic knowledge in high school [Watts 1987; Heath 1989; Walstad and Soper 1989; Evans 1992; Walstad and Robson 1997].",1
47,9,"Siegfried also suggests that strong evidence does not exist on the inferiority of women in learning economics, once other measurable factors affecting economic understanding and knowledge accumulation are considered. When a pretest每posttest design is used to measure improvements in economic knowledge, and therefore learning, often the female initial disadvantage does not increase overtime, implying that males and females learn at similar rates. Similar results emerge from more recent literature. Studies by Jackstadt and Grootaert [1980], Watts [1987], and Allgood and Walstad [1999] find insignificant effects of gender on learning economics. A different result concerning differentials in learning outcomes is obtained by Walstad and Soper [1989] and then replicated in a study by Becker and Walstad [1990]. The authors find that there are indeed statistically significant differences in learning rates favoring males.",1
47,10,"Less attention has been given to the effect of race and ethnicity on test scores. Evans [1992] and Harris and Kerby [1997] control for both students＊ race and ethnicity in their analyses. Evans finds that black students score significantly lower than whites, while Hispanics are at no significant disadvantage. Harris and Kerby find that black students are at a significant disadvantage with respect to white students, and that both Hispanics and Filipinos have significantly lower test scores than whites. Asians students score higher than white students, but the difference is not statistically significant. Walstad and Soper [1989] find that black students perform worse than other students on the TEL. In 2007, the US Department of Education＊s National Center for Education Statistics published results of their first national assessment of economic literacy in grade 12, reporting that a larger percentage of blacks and Hispanics performed below basic level than did whites.",1
47,11,"There are 15 school districts in Orange County, California, all under the auspices of a county superintendent. We contacted the county superintendent＊s office and obtained a complete list of high schools in Orange County, along with contact information for each district＊s superintendent. The assistant superintendent for the county sent a letter expressing support for our project to the offices of the districts＊ superintendents.",1
47,12,"We made repeated appeals to the districts＊ superintendents to enlist their support for the project. In the end, two large school districts, Fullerton and San Juan Capistrano, agreed to work with us. Seven schools from these districts participated in the study, and there were 1,343 students enrolled in the one-semester, senior year compulsory economics courses offered at these schools for Fall 2005. Virtually all the studies done on economic education at pre-college and college level suffer from similar limitations in their sampling procedures, regardless of the size of the sample or the financial resources available to the researchers [e.g., Walstad and Soper 1988, p. 28; 1989, p. 24]. It is also important to note that the 1,343 figure reported above represents the number of students enrolled in the classes surveyed as of the census date. As later explained, the actual number of students who attended classes and for whom we have complete data was smaller.",1
47,13,"Our key performance measures to assess initial economics knowledge and subsequent learning are students＊ scores on the TEL, administered to the students in the sample in the first week of their semester of economics course work (pretest) and again in the last week of the course (post-test). The TEL is a nationally-normed, standardized test developed by the National Council on Economic Education [Walstad and Rebeck 2001b], and it is the accepted standard for testing pre-college economic literacy. The test consists of 40 multiple choice questions on basic core, micro, macro, and international economics concepts.",1
47,14,"To analyze students＊ performance on the TEL examination, we needed information on students＊ characteristics. We gathered demographic, family background, and academic performance characteristics from a student questionnaire that we designed [Appendix A] and from official school records. From the questionnaire we obtained information about students＊ race, ethnicity, and gender, their primary language, hours they work per week at jobs outside of school, the number of hours per week they devote to their studies, and the educational background of their parents. From official schools＊ records we obtained students＊ academic (excluding physical education) grade point averages (GPAs) prior to the start of the Fall 2005 semester.2 From some schools we also obtained students＊ standardized mathematics and reading scores. As mentioned, the pretest was administered to students prior to the start of their mandated economics course. No student had received formal economics instruction prior to taking the pretest. Our survey instrument was administered during the first two weeks of classes.",1
47,15,"Table 1 presents descriptive statistics. The descriptive statistics are based on a sample of 514 students for whom we had complete information on test scores and survey responses to carry out the multiple regression analysis of pretest and post-test scores presented in the section Analysis of Test Scores. The reduction in sample size is caused primarily by students never attending the class, withholding information on individual questions, or by students being absent from class on the day the pretest, post-test, or survey were administered.",1
47,16,"The first column of Table 1 lists students＊ demographic characteristics, family background characteristics and academic performance and work effort characteristics, including pretest and post-test TEL scores. The second column of the table gives frequency distributions for the categorical variables and means and standard deviations for the continuous variables. As shown, our sample contains a larger proportion of females than males (53.9 percent vs 46.1 percent), with about 70 percent of the student population being white, 17.7 percent Hispanic, and 5.3 percent Asian. About 4 percent of the students in the sample report a language other than English for reading, writing, and speaking; 9 percent of our students are foreign born and 10.6 percent of them speak a language other than English at home. Our data indicate that a higher percentage of fathers are college educated than are mothers, and that 73 percent of the students in our sample live with both their mothers and fathers most of the time.",1
47,17,"The last part of Table 1 summarizes students＊ characteristics on academic performance, work effort, and test scores. The mean academic GPA is 3.02, with 65.4 percent of students reporting they took at least one advanced placement or honors class in high school. In addition, 21.2 percent of the students were enrolled in an economics class taught at the advanced placement level. Mean mathematics and reading scores are 246 (out of a possible 300) and 230 (out of a possible 300), respectively.4 Students, on average, devoted a little less than 9 hours per week to their studies and about 10.4 hours per week to work for pay. Finally, the TEL scores indicate that students＊ mean scores increased from 52.9 percent of questions answered correctly on the pretest to 65.2 percent of questions answered correctly on the post-test.",1
47,18,"Since both pretest scores and student characteristics＊ determining pretest scores are included in the post-test regression, we interpret the coefficients for the student characteristics in the post-test regression as the marginal impacts of these characteristics on post-test scores, net of their effects on pretest scores. That is, we are interested in how these variables affect the value-added from economics instruction.",1
47,19,"Table 2 provides information on pretest scores and changes in test scores by race and ethnicity, gender, and academic performance. The first two rows of the table show sample means for students＊ pretest scores and the difference between the pretest and post-test score organized by race and ethnicity. African-American students are excluded from this analysis because we lacked a sufficient number of observations to carry out our tests. Rows three and four, and rows five and six, respectively, provide the same information broken down by gender and by whether students had taken an advanced placement or honors class. Probability values for univariate tests of significance in each case are displayed in the table.",1
47,20,"Table 2 also shows that there are statistically significant, though small, gender differences in pretest scores. On average, male students outscore female students by about 3.5 percentage points. Walstad and Rebeck [2001b] report a 4 percentage point gender gap favoring males among students without formal economic education. Finally, students who reported taking at least one advanced placement or honors class performed better on the TEL than students who had not. Similar results are reported by Evans [1992] and Walstad and Rebeck [2001a, b].",1
47,21,"Turning first to the results on pretest scores in Column 1 of Table 3, we find, consistent with the univariate tests reported in Table 2, that Hispanic and Asian students＊ pretest scores are significantly lower than the TEL scores for whites, the reference category. Yet, in the multiple regression analysis, the white每Hispanic gap in scores falls noticeably (from about 11 percentage points in Table 2 to about 7 percentage points in Table 3). Thus, it appears that the lower performance of Hispanic students compared to white students can be explained in part by differences between the groups in family background, performance and work effort characteristics. Our results show a large negative effect for African-American students (11.12 percentage points), but we view this result and the result for Asian students with caution, as our subsamples of African-American and Asian students are small.",1
47,22,"The gender effects reported in Table 3 tell a different story. Column 1 gives a gender effect of 6.4 percentage points favoring males. This is 83 percent higher than the gender differential reported in Table 2. A likely reason for this result is that males lag behind females in academic performance characteristics, yet despite this disadvantage they outperform females on the TEL. Therefore controlling for academic performance characteristics increases the male每female gap in test scores.",1
47,23,"Additional results indicate that students who report English as their primary language for writing and speaking score about 5 percentage points higher on the pretest, and students who report living with both parents score about 3 percentage points higher. Academic performance is, as expected, an important predictor of success on the pretest: a one-point increase in academic GPA is associated with 9.12 percentage point increase in pretest scores. In addition, students taking an advanced placement economics class score nearly 4 percentage points higher on the pretest. The variable controlling for whether students ever had an advanced placement or honors class is insignificant in the pretest regressions.",1
47,24,"Adding math and reading scores to the pretest regression (Table 3, Column 2) does little to change the estimated ethnicity and gender effects reported in Column 1. A ten point increase in reading scores increases pretest scores by a little over 4 percentage points. Including mathematics and reading scores reduces the impact of academic GPA from 9.12 percentage points to 7.42 percentage points. The impact of being currently enrolled in advanced placement economics, on the other hand, increases from 3.88 percentage points to 5.78 percentage points.",1
47,25,"Our results confirm previous findings on the determinants of student＊s stock of economic knowledge in high school. As we indicated in the section The Literature, Watts [1987], Walstad and Soper [1989], Heath [1989], Evans [1992], all report statistically significant differences by gender favoring males, though, with the exception of Heath, our gender effects are larger. Previous studies also obtained results similar to ours for the effect of variables measuring academic ability, such as GPA or AP courses. Jackstadt and Grootaert [1980], for example, find that grade level, GPA, and holding a part-time job, are all variables that significantly affect students＊ scores. As for the effect of ethnicity on students＊ scores, Harris and Kerby find that both Hispanics and Filipinos have significantly lower test scores than whites (1.47 points and 2.34 points, respectively on multiple choice exams). If anything, our single county focus suggests even larger ethnicity and gender differences in pretest scores than those indicated in most of the previous studies, though we acknowledge that our results for Hispanic students, in particular, may be picking up an effect specific to Orange County.",1
