index_article,index_paragraph,content,label
47,1,"This research evaluates the economic knowledge of students who undergo structured economic education during their senior year of high school. We selected our sample from seven high schools within two school districts in Orange County, California. All students were enrolled in the mandatory, semester-long economics course, a requirement for graduation. Our chief measure of performance is the Test of Economic Literacy (TEL). The results indicate that students' initial understanding of economics is inadequate. However, their TEL scores improved by an average of 12.3 percentage points, after one semester of formal economics instruction, as revealed by a pretest-post-test design.",0
47,2,"It is becoming more common for the media to discuss the importance of economic and financial literacy, indicating that policymakers and educators recognize its significance for children, teenagers, and young adults. There have been two national summits on economic and financial literacy and a substantial amount of academic literature highlights the importance of economics education in high school, with continued research exploring issues surrounding economics teaching and learning at both the high school and college levels.",0
47,3,"Our investigation in Orange County, California revealed the economic literacy of high school students. In 1985, California included one semester of economics in high school graduation requirements. This course is taken in the senior year and covers micro and macroeconomic analyses. California is one of the 17 states that mandate formal principles of economics instruction at the secondary level. However, no empirical study has focused on the effectiveness of formal economics instruction in improving economic literacy in California high school students. Our study aims to address this gap.",0
47,4,"Our research has implications for two major policy concerns. The first pertains to the effectiveness of high school economics education in fostering economic literacy. As stated in the following discussion, evidence from a national level indicates that high school economics classes have a positive impact on students¡¯ performances on standardized economics tests. By adopting a research design that employs a single county, single state approach, and includes a comprehensive set of control variables derived from our survey and school records, we refine the focus on this issue. The second policy concern centers on the influence of gender and ethnicity/race on economic literacy. Previous studies, predominantly at the national level, reveal significant gender differences in economic knowledge prior to taking an economics course, but are inconclusive regarding gender-related effects on economics learning. Although research on the impact of ethnicity and race on economic knowledge is limited, studies suggest that differences do exist. Using our research design, we address both ethnicity and gender effects on economic literacy before and after students take high school economics.",0
47,5,"Due to the complexity of factors affecting student achievement in economics, our research focuses on one state and one county to investigate more effectively. Differences in funding and instructional emphasis on economics vary greatly between states and counties, and our design mitigates these variations and enables us to better understand the impact of student characteristics on achievement.",0
47,6,"Despite the practical limitations imposed on our research design discussed in the Study Methodology, Data, and Characteristics of the Sample section, the demographics of Orange County are still significant to this study. According to the California Department of Education (www.cde.ca.gov) for 2003-2004, Orange County had the second largest grade 12 enrollments in the state, making up more than 8 percent of all high school seniors in California. Additionally, Orange County stands out as one of the most diverse populations in the state with higher percentages of Asian and Hispanic students enrolled in 12th grade than the corresponding percentages for the state.",0
47,7,"Based on evidence from various studies, it is more effective to have students take an economics course to improve their economic literacy compared to infusing economic content in the K-12 curriculum. Students who were enrolled in economics courses performed better on the Test of Economic Literacy compared to those who were enrolled in social studies classes with no economic content or some economic content. Moreover, studies suggest that nationwide, students who took an economics course obtained higher scores on the TEL multiple choice examination. Controlling for selection bias further supports the positive effect of economics courses on post-test performance. (Mask used: Paraphrase)",0
47,8,"According to studies in the literature, there have been investigations into discrepancies in economic literacy between genders. Siegfried's [1979] article is often referenced, in which he discusses the gender gap in students' performance and notes that males tend to have a slight advantage in understanding economics at a specific time. Recent works have confirmed this gender gap, with high school students' point-in-time measures of economic knowledge generally favoring males. Studies by Watts [1987], Heath [1989], Walstad and Soper [1989], Evans [1992], and Walstad and Robson [1997] all support this finding.",0
47,9,"There is limited proof that women are inferior in learning economics when factors affecting economic comprehension and knowledge accumulation are accounted for, according to Siegfried. When using a pretest-posttest design to gauge improvements in economic knowledge, the initial disadvantage of female students does not increase over time, indicating that both genders learn at comparable rates. This finding is also observed in more recent research by Jackstadt and Grootaert, Watts, and Allgood and Walstad. Although Walstad and Soper discovered that there are significant differences in learning rates that favor males, this outcome was replicated in a subsequent study by Becker and Walstad.",0
47,10,"The impact of race and ethnicity on test scores has received limited attention in academic research. However, some studies have examined this issue. Evans [1992] and Harris and Kerby [1997] have both analyzed the impact of race and ethnicity on test scores. Evans suggests that black students tend to score lower than white students, while Hispanics perform at a similar level to whites. In contrast, Harris and Kerby's study found that black students are at a significant disadvantage compared to white students, and both Hispanics and Filipinos tend to have lower test scores than whites. On the other hand, Asian students tend to score higher than white students, but the difference is not statistically significant. Additionally, Walstad and Soper [1989] found that black students tend to perform worse on the TEL compared to other students. In addition, the US Department of Education¡¯s National Center for Education Statistics conducted a national assessment of economic literacy for grade 12 students in 2007, revealing that a greater percentage of blacks and Hispanics scored below the basic level compared to whites.",0
47,11,"The county of Orange, California has a total of 15 school districts that are overseen by a county superintendent. We reached out to the county superintendent¡¯s office to acquire a comprehensive list of high schools in Orange County and the contact details for each district¡¯s superintendent. The assistant superintendent for the county wrote a letter to the superintendents of the districts, showing their support for our project.",0
47,12,"We appealed multiple times to the superintendents of the districts to gain their support for the project. Eventually, two significant school districts, Fullerton and San Juan Capistrano, agreed to collaborate with us. Seven schools from these districts participated in the research, with a total of 1,343 students enrolled in the mandatory economics courses for the fall semester of 2005. The sampling limitations found in previous studies on economic education at the pre-college and college level prevail, regardless of the sample size or financial resources available to the researchers [e.g., Walstad and Soper 1988, p. 28; 1989, p. 24]. It's vital to note that the reported 1,343 figure represents the quantity of students enrolled in the classes surveyed as of the census date. As we'll explain later, the actual number of students who attended the classes and submitted complete data was lower.",0
47,13,"To evaluate students' initial economics knowledge and subsequent learning, we use the TEL as our key performance measures. The TEL is a standardized test, which assesses pre-college economic literacy and was developed by the National Council on Economic Education. It consists of 40 multiple choice questions on basic core, micro, macro, and international economics concepts. We administer the test to our students at the beginning of the semester as a pretest and again in the last week of the course as a post-test.",0
47,14,"We required information on students¡¯ characteristics to evaluate their performance on the TEL examination. This was obtained from a student questionnaire we designed along with official records of the school, entailing details of their demographics, family background, and academic performance. The questionnaire contained information on their race, ethnicity, gender, primary language, working hours outside of school, study hours, and parents¡¯ educational background. GPA records (excluding physical education) were obtained from official school records. Some schools also provided standardized mathematics and reading scores. The pretest was given to students prior to the commencement of their economics course, with no prior formal training in economics. Our survey questionnaire was administered in the first fortnight of classes.",0
47,15,"Table 1 displays the descriptive statistics from the multiple regression analysis of pretest and post-test scores presented in the Analysis of Test Scores section. The sample size used for the analysis was 514 students who provided complete information on test scores and survey responses. The sample size decreased due to students who did not attend the class, students who refused to answer individual questions, or those who were absent on the day of the pretest, post-test, or survey administration.",0
47,16,"The initial column of Table 1 displays demographic, academic and work performance, and background information of students, including pretest and post-test TEL scores. The second column of the table presents frequency distributions for categorical variables and means and standard deviations for continuous variables. Our sample data show that females constitute a larger percentage compared to males (53.9 percent vs. 46.1 percent). Additionally, approximately 70 percent of the student population is white, 17.7 percent Hispanic, and 5.3 percent Asian. Approximately 4 percent of students report a language other than English for reading, writing, and speaking, and 9 percent are foreign-born. Furthermore, 10.6 percent of students speak languages other than English at home. Our data also indicate that more fathers have a college education compared to mothers, and 73 percent of the students in our sample live with both their mothers and fathers mostly.",0
47,17,"Table 1's final section presents an overview of students' attributes, such as academic performance, test scores, and work effort. The average academic GPA is 3.02, and 65.4% of students took at least one advanced placement or honors class. Moreover, 21.2% of students were part of an economics class taught at the advanced placement level. The average scores for mathematics and reading are 246 and 230, respectively, out of a possible 300. On average, students dedicated a bit under 9 hours weekly to studies and around 10.4 hours weekly to paid work. Finally, the students' TEL scores showed an increase from 52.9% accuracy on the pretest to 65.2% accuracy on the post-test.",0
47,18,"The post-test regression includes both pretest scores and student characteristics that determine pretest scores. Therefore, the coefficients for student characteristics in the post-test regression show the effects of these characteristics on post-test scores, after accounting for their impact on pretest scores. The aim is to understand how these variables influence the value-added from economics instruction.",0
47,19,"Table 2 displays data regarding pretest scores and the changes made in test scores. The information is organized based on categories such as race and ethnicity, gender, and academic performance. The first two rows of data indicate a detailed account of pretest scores and the difference in scores before and after the test. However, the data for African-American students is not included due to a limited number of observations. The third and fourth, and fifth and sixth rows exhibit the same sort of data segregated by gender and whether students have taken honors or advanced placement classes. The probability values for univariate tests of significance in each case are shown within the table.",0
47,20,"Table 2 displays that there are significant gender differences in pretest scores, albeit minor. On average, male students exceed female students by approximately 3.5 percentage points. According to Walstad and Rebeck [2001b], there exists a gender gap of 4 percentage points in favor of male students who have not had formal economic education. Additionally, students who have taken at least one advanced placement or honors class have performed better on the TEL than those who haven't. Similar findings have been reported by Evans [1992] and Walstad and Rebeck [2001a, b].",0
47,21,"In Column 1 of Table 3, it is observed that the pretest scores of Hispanic and Asian students are significantly lower than those of white students. However, multiple regression analysis shows a decrease in the white-Hispanic gap in scores, which suggests that the performance gap can be partly explained by family background, performance, and work effort characteristics. The negative effect on African American students is significant, but caution is advised when interpreting the result for Asian and African American students due to small sample sizes. This is consistent with the findings reported in Table 2.",0
47,22,"The results presented in Table 3 reveal contrasting gender effects. According to Column 1, males have a 6.4 percentage point advantage, which is 83 percent more significant than the gender difference shown in Table 2. This variation can be attributed to males performing below females in academic performance measures, but managing to score better than females on the TEL. Consequently, taking academic performance factors into account amplifies the disparity between male and female test scores.",0
47,23,"Further findings suggest that individuals who identify English as their primary language for writing and speaking are likely to achieve scores approximately 5 percentage points higher on the pretest compared to those who do not. Similar trends are observed for students who live with both parents, with an expected score increase of around 3 percentage points. Unsurprisingly, academic performance is positively associated with pretest success, with every one-point increase in academic GPA linked to approx. 9.12 percentage point increase in pretest scores. Furthermore, students enrolled in advanced placement economics classes are likely to score almost 4 percentage points higher on the pretest. Notably, the variable controlling for whether students have ever taken AP or honors classes is unimportant in the pretest regressions.",0
47,24,"Adding math and reading scores to the pretest regression analysis (Table 3, Column 2) has minimal effect on the ethnic and gender effects previously reported in Column 1. A reading score increase of ten points results in a slightly over 4% increase in pretest scores. By factoring in math and reading scores, the impact of academic GPA lessens from 9.12 percentage points to 7.42 percentage points. However, the impact of currently being enrolled in advanced placement economics increases from 3.88 percentage points to 5.78 percentage points.",0
47,25,"Our study supports previous research regarding factors that influence a student's economic knowledge in high school. As discussed in the literature review, multiple studies have found significant differences by gender, with males performing better than females. Our gender effects are even larger than those reported in previous studies, except for one by Heath. Similarly, academic ability, as measured by GPA or AP course enrollment, has been found to be a significant predictor of economic knowledge. Other studies have also shown that variables such as grade level, GPA, and holding a part-time job have a significant impact on students' scores. Additionally, ethnicity has been found to be a factor, with Hispanics and Filipinos scoring significantly lower than whites on multiple choice exams. Our study, focused on a single county, suggests even larger ethnicity and gender differences than those reported in previous studies, although the results for Hispanic students may be influenced by factors specific to Orange County.",0
47,26,"The initial knowledge of economics among high school students in the sample is not strong. Based on descriptive statistics, white students had the highest pretest TEL scores (55.5%), followed by Asians (48.9%) and Hispanics (44.1%), while males performed better than females by about 3.5 percentage points (54.8% and 51.3%, respectively). Ethnicity and gender were significant determinants of pretest scores, with Hispanic students showing a reduced gap with whites in pretest scores when academic performance and family background characteristics were controlled.",0
47,27,"The pretest score gender differences are interesting as they show that although males have a slight advantage in initial economic literacy, the gap widens when accounting for academic performance factors. Females appear to perform worse in economics compared to other subjects, potentially suggesting that introducing economic reasoning to young girls at a younger age may improve their performance. Additionally, academic performance, including GPA and standardized mathematics and reading scores, significantly influences pretest scores.",0
47,28,"The evidence suggests that teacher quality is a crucial factor in determining students' learning. The teacher-specific effects have been found to be largely significant, implying that good teachers play a vital role in enhancing students' test scores. Although there may be some common factors among students in the same classroom that lead to peer effects, the impact of teacher quality on changes in students' performance cannot be overlooked.",0
47,29,"The results suggest that effective policy intervention should target specific ethnicities and genders. Improving economic literacy for Hispanics requires addressing factors that impact their overall academic performance compared to whites. This can be achieved via better learning opportunities in all subjects, including economics, at a younger age. The discrepancy between white and Hispanic pretest scores indicates earlier exposure to economic concepts may differ due to income and community characteristics. Additionally, female students have less economic knowledge than their male counterparts, even with similar overall academic performance.",0
47,30,"It seems that more needs to be done to cultivate basic economic knowledge among students throughout the K-11 curriculum, based on our analysis of 12th graders' initial knowledge of economics, albeit limited to a specific region. Although the California History/Social Science Standards have incorporated an Economics Strand into the K-12 program since 1998, necessitating the inclusion of fundamental economic principles and ways of thinking over an 11-year period before completing a one-semester economics course during high school, this ""infusion"" requirement does not seem to have resulted in a strong grasp of economic literacy among young Californians entering 12th grade. Nevertheless, we discovered that 12th-grade formal economic instruction does enhance students' economic literacy.",0
48,1,"Classical economists gave great importance to the accumulation of capital and growth. This focus on growth and accumulation can be traced back to Adam Smith's book, The Nature and Causes of the Wealth of Nations. Many scholars have noted that Smith's work provided a formal description of economic development, in which various economic forces interacted and drove the commercial economy forward in a dynamic process.",0
48,2,"In terms of the matters related to economic evolution, there is more to the story. To comprehend it comprehensively, we require to consider the study of history as well. According to Smith, studying history is crucial to understanding mankind and society. History serves as a means to create a stable system of social science. Additionally, Smith describes the historical advancement of society from feudalism to the emergence of contemporary European states in Book III of the Wealth of Nations.",0
48,3,"In his essay on the history of astronomy, Smith highlights that science aims to identify the mechanisms that contribute to regularities between events and phenomena. Smith emphasizes that the goal of scientists is to discover the ""connecting principles of nature"" or the ""invisible chains that bind together all these disjointed objects."" Similarly, moral philosophy is seen in the Wealth of Nations as a ""science that investigates and explains these connecting principles."" Smith dedicated himself to uncovering the ""chains and mechanisms"" or ""connecting principles"" that could be used to make inferences about social events. As a result, Smith's moral philosophy, which covers natural theology, ethics, jurisprudence, and economics, is often regarded as a social science system today.",0
48,4,"Smith's historical account has been interpreted by some as a nomothetic approach to history, rather than an idiographic one. This means that history is viewed as less of a narrative description of past events and more of a systematic examination of main issues, starting from a theoretical framework. Smith's historical discourse began with the system and used historical evidence to support his theory, rather than starting with the facts and forming a theory from them.",0
48,5,Scholars studying Smith found it intriguing that he claimed in 1776 that the true progression of economic growth in Europe was completely reversed. This spurred Smith to dedicate chapters two through four of Book III to exploring the reasons behind this divergence. Some individuals have since contended that Smith could not reconcile his theoretical perspective on history with the facts of the past.,0
