index_article,index_paragraph,content,label
1,1,"Extant research supports the hypothesis that biometric indicators of life history (LH) strategy, such as the timing of sexual debut, are calibrated in response to cues sampled early in development (before age 7). Herein, we theorize that the experience of sexual debut itself may further calibrate women＊s LH-related behavioral phenotypes across adolescence by modulating subsequent investment in mating effort, which is associated with faster (vs. slower) LH speed. We tested this hypothesis using longitudinal data, which included Q-Sort LH scores at ages 14, 18, and 23, and a report of whether or not sexual debut occurred between ages 14 and 18. Results demonstrated that women (but not men) who experienced their sexual debut between the ages of 14 and 18 showed greater relative acceleration of LH speed during this period than women who had not debuted by age 18. However, these same effects had weakened by age 23〞which underscores the broader idea that LH-related behavioral phenotypes exhibit substantial cue-based plasticity across adolescence and into adulthood. Although alternative explanations for the observed patterns remain unfalsified, these findings are consistent with the hypothesis that developmental LH trajectory is regulated in relation to the timing of sexual debut in adolescence. This possibility could be further investigated in future research",1
1,2,"Life history (LH) theory originated as an explanation for changes in organisms＊ reproductive strategies under conditions of increasing environmental constraints (Pianka 1970) with a rapid or quantity reproductive strategy predominating with loose constraints and a more restrained quality reproductive strategy prevailing as constraints tightened. Promislow and Harvey (1990) proposed that these strategies accounted for a collation of differences between species, finding significant covariance amongst such indices as rate of maturation, litter size, and maternal investment in offspring. Similarly, LH theory was applied to human group (Rushton 1985) and individual differences (Draper and Harpending 1982) such that individual differences in rate of maturation, sexual debut, and parental investment covary forming LH strategies between people. Individual differences in LH strategy are now described as varying in speed along a fast to slow continuum. Faster LH strategies are defined by earlier maturation and sexual debut, higher frequency of sexual intercourse with less stable pair bonds, and reduced parental investment. Slow LH strategies are defined by later maturation and sexual debut, lower frequency of sexual intercourse with more stable pair bonds, and increased parental investment.",1
1,3,"The earliest models on the development of LH strategies stressed the critical influence of early childhood experiences that would have predicted LH-relevant environmental parameters across human ancestral environments (Belsky et al. 1991; Draper and  Harpending 1982; Ellis et al. 2003). For example, Belsky et al. (1991) proposed that the quality of parental attachment in childhood is the key determinant in calibrating developmental trajectories toward a fast or slow LH strategy. Secure parental attachment guides development down the path of a slow LH strategy, with the corresponding phenotypic traits geared toward investment in future reproduction via delayed maturation and sexual debut. Alternatively, insecure parental attachment leads to a fast LH strategy with early maturation and earlier sexual debut, unstable pair bonds, and low parental investment in offspring. At several points in their article, Belsky et al. (1991) reiterate Draper and Harpending's (1982) position that early childhood experiences (explicitly stated as occurring in the first 5每7 years of life) are critical in setting the fast (called Type I in the article) or slow (called Type II in the article) developmental trajectories. This position is summarized in the following quote from the article",1
1,4,"A central tenet of the theory we advance is that a principal evolutionary function of early experience〞the first 5每7 years of life〞is to induce in the child an understanding of the availability and predictability of resources (broadly defined) in the environment, of the trustworthiness of others, and of the enduringness of close interpersonal relationships, all of which will affect how the developing person apportions reproductive effort.",1
1,5,"The position that there is a critical period wherein LH strategy crystalizes in the middle of the first decade may be too strong. While recognizing a significant degree of heritability in LH strategy (Figueredo et al. 2004), additional research and advancing theory on the development of LH strategies in reaction to proximate somatic (Nettle et al. 2013; von Rueden et al. 2015) and environmental (e.g., Brumbach et al. 2009) cues both suggest that significant plasticity in LH strategies remains after the 5每7 years of age period identified by Belsky et al. (1991). On the other hand, the issue of the importance of early versus late developmental experience in helping shape LH strategy remains an open question with some findings pointing to the importance of early experiences relative to those experienced later in life. For example, Simpson et al. (2012) found that the level of environmental predictability experienced in the first 5 years of life had a significant effect on LH strategy at age 23, but the level of environmental predictability experienced in later childhood and adolescence did not.",1
1,6,"The most comprehensive model on how factors beyond the age of seven may impact LH strategies has been proposed by Del Giudice (2009), who suggested that early adolescence, specifically adrenarche, acts as an additional switch point in the development of LH strategies. This idea has been advanced further by Ellis et al. (2012) and Del Giudice and Belsky (2011), both of whom extended the putative period of cue-based plasticity through puberty and into later adolescence. In support of the idea that LH strategy may be continually adjusted across development, well past the age 5 to 7 period, Dunkel et al. (2015) recently found that maternal authoritative parenting received during adolescence uniquely predicted later LH strategy above and beyond the calibration effects of maternal behavior in early childhood.",1
1,7,"The current investigation further explores the idea of continued plasticity in the development of LH strategy in adolescence. To that end, we examined another possible contributing factor in developing LH strategies during adolescence: sexual debut (i.e., age of first sex). While sexual debut has most often been used as a type of dependent variable, the timing of which is indicative of LH strategy (see Ellis et al. 2003), there is precedence indicating that it may also serve as an LH cue acting to calibrate LH speed. For example, Vigil et al. (2005) tested the possibility that childhood sexual abuse accelerates LH speed. Vigil et al. (2005) surveyed over 600 women between the ages of 18 and 56 from the Midwestern and Southwestern USA concerning whether or not they experienced childhood sexual abuse, assessed by the single item ※I was sexually abused before age 14,§ and the subsequent ages at which they experienced a number of indicators of LH strategy (e.g., sexual debut). While, as recognized by Vigil et al. (2005), childhood sexual abuse differs from consensual intercourse later in life in many clear and important ways, the authors proposed that the act of intercourse itself may be one reason why childhood sexual abuse accelerates LH speed. Indeed, they found that women who reported being victims of childhood sexual abuse also reported earlier menarche, earlier timing of first consensual intercourse, and giving birth to their first child earlier in life.",1
1,8,"Thus, the primary hypothesis of the present study is that sexual debut accelerates LH speed. The general prediction that LH strategy is facultatively calibrated in ontogeny only holds to the degree that particular developmental cues were ancestrally valid predictors of variable world states (Frankenhius and Panchanathan 2011). Although certain aspects of early environment may contain some valid LH-relevant information, recent theoretical work suggests that internal (e.g., somatic) cues may in many cases have much higher cue validities than external cues (Nettle et al. 2013). This would be especially true for internal cues associated with sexual debut (e.g., psychological experience of having sex; ※breaking§ of the hymen), which provide highly valid information regarding one＊s actual progression into a sexually active developmental stage wherein it would have been ancestrally functional to invest in reproductive effort (at the expense of investment in growth, etc.). If so, selection may have favored facultative adaptations designed to accelerate LH speed in response to sexual debut in adolescence, such that the loss of virginity promotes investment in current reproduction via increased allocation of resources toward mating effort.",1
1,9,"Given that the transition from virginity to sexual activity entails much greater potential costs for females than males (Trivers 1972), the tradeoff between growth and reproduction as a function of virginity loss would have been especially pronounced among ancestral women (Vigil et al. 2005). We correspondingly predict that sexual debut will accelerate LH speed to a greater degree in adolescent females than males. We examine these predictions using data from a longitudinal study conducted by Block and Block (2006a) which includes both repeated measures of LH strategy from adolescence and into adulthood based on the California Adult Q-sort (Block 1978; Sherman et al. 2013) and information concerning the timing of sexual debut.",1
1,10,"The Block and Block data (2006b) and documentation files were downloaded via the internet from the Henry A. Murray Research Archive. The Block and Block longitudinal study lasted 30 years with multiple waves of data collection and extensive testing taking place at each wave. Participants were initially recruited from two preschools in Berkeley, CA, when they were 3 to 4 years of age. Demographic information including participant sex, ethnicity, and socioeconomic status was obtained from data files in the first wave of data collection.",1
